,ID,Name,Reaction,Flux,Sensitivity
192,C204CPT2,arachidonic acid transport into the mitochondria Astrocyte,arachdcrn[mA] + coa[mA] --> arachdcoa[mA] + crn[mA],0.0,0.0
193,C226CPT2,C226 transport into the mitochondria Astrocyte,c226crn[mA] + coa[mA] --> c226coa[mA] + crn[mA],0.0,0.0
194,C2M26DCOAHLm,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (m) Astrocyte",c2m26dcoa[mA] + h2o[mA] <=> 3h26dm5coa[mA],0.0,-0.0
195,CATm,catalase Astrocyte,2.0 h2o2[mA] --> 2.0 h2o[mA] + o2[mA],0.0,-2.09277040141842e-14
196,CBL2tm,"Cob(II)alamine transport, mitochondrial Astrocyte",cbl2[cA] --> cbl2[mA],0.0,0.0
197,CBLATm,"cob(I)alamin adenosyltransferase, mitochondrial Astrocyte",atp[mA] + cbl1[mA] + h[mA] <=> adocbl[mA] + pppi[mA],0.0,1.6653345369377348e-16
198,CDPDAGtm,intracellular transport Astrocyte,cdpdag_hs[cA] <=> cdpdag_hs[mA],0.0,-0.0
199,CDSm,phosphatidate cytidylyltransferase Astrocyte,ctp[mA] + h[mA] + pa_hs[mA] --> cdpdag_hs[mA] + ppi[mA],0.0,1.6653345369377348e-16
200,CHSTEROLt3,cholesterol intracellular transport Astrocyte,chsterol[cA] <=> chsterol[mA],0.0,0.0
201,CITRtm,citrulline mitochondrial transport via proton antiport Astrocyte,citr-L[mA] <=> citr-L[cA],0.0,0.0
202,CITtam,"citrate transport, mitochondrial Astrocyte",cit[cA] + mal-L[mA] <=> cit[mA] + mal-L[cA],0.0,-0.0
203,CITtbm,"citrate transport, mitochondrial Astrocyte",cit[cA] + pep[mA] <=> cit[mA] + pep[cA],0.0,-3.552713678800501e-15
204,CK,ATP Creatine kinase Astrocyte,atp[mA] + creat[mA] <=> adp[mA] + pcreat[mA],0.0,0.0
205,CO2t,CO2 transporter via diffusion Astrocyte,co2[e] <=> co2[cA],-32.407799999999845,-0.0
206,CO2tm,"CO2 transport (diffusion), mitochondrial Astrocyte",co2[cA] <=> co2[mA],1.706772236692094e-14,-0.0
207,COQ3m,methyltransferase COQ3 Astrocyte,2dpmhobq[mA] + amet[mA] --> ahcys[mA] + h[mA] + q10[mA],0.0,0.0
208,COQ5m,Ubiquinone biosynthesis methyltransferase COQ5 Astrocyte,2dp6mobq[mA] + amet[mA] --> 2dp6mobq_me[mA] + ahcys[mA] + h[mA],0.0,0.0
209,COQ6m,Ubiquinone biosynthesis monooxgenase COQ6 Astrocyte,2dp6mep[mA] + o2[mA] --> 2dp6mobq[mA] + h2o[mA],0.0,0.0
210,COQ7m,Ubiquinone biosynthesis COQ7 Astrocyte,2dp6mobq_me[mA] + h[mA] + nadph[mA] + o2[mA] --> 2dpmhobq[mA] + h2o[mA] + nadp[mA],0.0,-6.625911949685404
211,COUCOAFm,p-coumaroyl-CoA formation Astrocyte,T4hcinnm[mA] + atp[mA] + coa[mA] --> amp[mA] + coucoa[mA] + ppi[mA],0.0,0.0
212,CPPPGO,coproporphyrinogen oxidase (O2 required) Astrocyte,cpppg3[cA] + 2.0 h[cA] + o2[cA] --> 2.0 co2[cA] + 2.0 h2o[cA] + pppg9[cA],0.0,-1.748601263784621e-15
213,CRNt,L-carnitine reversible transport Astrocyte,crn[e] <=> crn[cA],0.0,-0.0
214,CRNtim,L-carnitine transport out of mitochondria via diffusion Astrocyte,crn[mA] --> crn[cA],0.0,0.0
215,CSNAT2m,"carnitine O-aceyltransferase, mitochondrial Astrocyte",coa[mA] + pcrn[mA] <=> crn[mA] + ppcoa[mA],0.0,-0.0
216,CSNATm,"carnitine O-aceyltransferase, mitochondrial Astrocyte",acrn[mA] + coa[mA] <=> accoa[mA] + crn[mA],0.0,-0.0
217,CSm,citrate synthase Astrocyte,accoa[mA] + h2o[mA] + oaa[mA] --> cit[mA] + coa[mA] + h[mA],-3.552713678800501e-15,-2.831068712794149e-15
218,CYANSTm,"Cyanide sulfurtransferase, mitochondrial Astrocyte",cyan[mA] + tsul[mA] --> h[mA] + so3[mA] + tcynt[mA],0.0,-1.3600232051658168e-15
219,CYANt,Cyanide transport via diffusion (extracellular to cytosol) Astrocyte,cyan[e] <=> cyan[cA],0.0,0.0
220,CYANtm,Cyanide transport via diffusion (mitochondrial) Astrocyte,cyan[cA] <=> cyan[mA],0.0,-1.3322676295501878e-15
221,CYOOm2,"cytochrome c oxidase, mitochondrial Complex IV Astrocyte",4.0 focytC[mA] + 8.0 h[mA] + o2[mA] --> 4.0 ficytC[mA] + 2.0 h2o[mA] + 4.0 h[cA],-1.8651746813702586e-14,-1.3312027775604574e-30
222,CYOR-u10m,"ubiquinol-6 cytochrome c reductase, Complex III Astrocyte",2.0 ficytC[mA] + 2.0 h[mA] + q10h2[mA] --> 2.0 focytC[mA] + 4.0 h[cA] + q10[mA],-8.881784197001167e-15,-1.3312027775604574e-30
223,CYSGLUexR,L-cysteine/L-glutamine reversible exchanger Astrocyte,cys-L[e] + gln-L[cA] --> cys-L[cA] + gln-L[e],0.0,-17.700377358490474
224,CYSGLYex,L-cysteine/glycine exchanger Astrocyte,cys-L[cA] + gly[e] --> cys-L[e] + gly[cA],0.0,0.0
225,CYSGLYexR,L-cysteine/glycine reversible exchanger Astrocyte,cys-L[cA] + gly[e] <=> cys-L[e] + gly[cA],0.0,0.0
226,CYSO,cysteine oxidase Astrocyte,cys-L[cA] + o2[cA] --> 3sala[cA] + 2.0 h[cA],0.0,-4.735471698113198
227,CYSTAm,cysteine transaminase (mitochondrial) Astrocyte,akg[mA] + cys-L[mA] <=> glu-L[mA] + mercppyr[mA],0.0,-0.0
228,CYStec,L-cysteine transport via diffusion (extracellular to cytosol) Astrocyte,cys-L[e] <=> cys-L[cA],0.0,0.0
229,CYTK1m,"cytidylate kinase (CMP),mitochondrial Astrocyte",atp[mA] + cmp[mA] <=> adp[mA] + cdp[mA],0.0,0.0
230,D-LACt2,D-lactate transport via proton symport Astrocyte,h[e] + lac-D[e] <=> h[cA] + lac-D[cA],0.0,-0.0
231,D-LACtm,"D-lactate transport, mitochondrial Astrocyte",h[cA] + lac-D[cA] <=> h[mA] + lac-D[mA],0.0,-1.6653345369377314e-16
232,DDPGAm,"2-dehydro-3-deoxy-phosphogluconate aldolase, mitochondrial Astrocyte",4h2oglt[mA] <=> glx[mA] + pyr[mA],0.0,1.7763568394002505e-15
233,DECDPtm,"lipid, flip-flop intracellular transport Astrocyte",decdp[cA] <=> decdp[mA],0.0,0.0
234,DGNSKm,deoxyguanosine kinase Astrocyte,atp[mA] + dgsn[mA] --> adp[mA] + dgmp[mA] + h[mA],0.0,-6.249433962264185
235,DGSNt,deoyguanosine transport via diffusion Astrocyte,dgsn[e] <=> dgsn[cA],0.0,0.0
236,DGSNtm,deoyguanosine transport in mitochondria Astrocyte,dgsn[cA] <=> dgsn[mA],0.0,-0.0
237,DHDPBMTm,dihydroxydecaprenylbenzoate methyltransferase Astrocyte,3dpdhb[mA] + amet[mA] --> 3dpdhb_me[mA] + ahcys[mA] + h[mA],0.0,0.0
238,DHFtm,dihydrofolate reversible mitochondrial transport Astrocyte,dhf[cA] <=> dhf[mA],0.0,0.0
239,DMGDHm,"dimethylglycine dehydrogenase, mitochondrial Astrocyte",dmgly[mA] + fad[mA] + h2o[mA] --> fadh2[mA] + fald[mA] + sarcs[mA],0.0,4.440892098500626e-16
240,DMGtm,dimethylglycine transport via diffusion (cytosol to mitochondria) Astrocyte,dmgly[cA] <=> dmgly[mA],0.0,0.0
241,DPGM,Diphosphoglyceromutase Astrocyte,13dpg[cA] <=> 23dpg[cA] + h[cA],0.0,-3.3280069439011436e-31
242,DPGase,Diphosphoglycerate phosphatase Astrocyte,23dpg[cA] + h2o[cA] --> 3pg[cA] + pi[cA],0.0,-1.2600000000000127
243,DPHMBDCm,3-Decaprenyl-4-hydroxy-5-methoxybenzoate  decarboxylation Astrocyte,3dpdhb_me[mA] + h[mA] --> 2dp6mep[mA] + co2[mA],0.0,0.0
244,DURIK1m,"deoxyuridine kinase (ATP:Deoxyuridine), mitochondrial Astrocyte",atp[mA] + duri[mA] --> adp[mA] + dump[mA] + h[mA],0.0,-1.52905660377357
245,DURIt,deoxyuridine transport via diffusion Astrocyte,duri[e] <=> duri[cA],0.0,0.0
246,DUTPDPm,dUTP diphosphatase Astrocyte,dutp[mA] + h2o[mA] --> dump[mA] + h[mA] + ppi[mA],0.0,-1.6653345369377348e-16
247,ECOAH12m,3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA) (mitochondria) Astrocyte,2mp2coa[mA] + h2o[mA] <=> 3hibutcoa[mA],1.1743200289695877e-28,8.881784197001252e-16
248,ECOAH1m,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA) (mitochondria) Astrocyte,3hbcoa[mA] <=> b2coa[mA] + h2o[mA],0.0,-8.881784197001252e-16
249,ECOAH9m,"2-Methylprop-2-enoyl-CoA (2-Methylbut-2-enoyl-CoA), mitochondrial Astrocyte",2mb2coa[mA] + h2o[mA] <=> 3hmbcoa[mA],-3.3239282164113625e-29,0.0
250,EHGLAT2m,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase 2, mitochondrial Astrocyte",e4hglu[mA] + oaa[mA] --> 4h2oglt[mA] + asp-L[mA],0.0,0.0
251,EHGLATm,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial Astrocyte",akg[mA] + e4hglu[mA] --> 4h2oglt[mA] + glu-L[mA],0.0,0.0
252,ENO,enolase Astrocyte,2pg[cA] <=> h2o[cA] + pep[cA],7.03799999999998,9.020562075079397e-16
253,ETF,electron transfer flavoprotein Astrocyte,etfox[mA] + fadh2[mA] --> etfrd[mA] + fad[mA],0.0,-1.490000000000026
254,ETFQO,Electron transfer flavoprotein-ubiquinone oxidoreductase Astrocyte,etfrd[mA] + q10[mA] --> etfox[mA] + q10h2[mA],-3.5527136788004157e-15,0.0
255,ETOHMO,ethanol monooxygenase Astrocyte,etoh[cA] + h[cA] + nadph[cA] + o2[cA] --> acald[cA] + 2.0 h2o[cA] + nadp[cA],0.0,-7.440377358490533
256,ETOHt,ethanol reversible transport Astrocyte,etoh[e] <=> etoh[cA],0.0,0.0
257,FALDtm,formaldehyde transport via diffusion (mitochondrial) Astrocyte,fald[mA] <=> fald[cA],0.0,0.0
258,FBA,fructose-bisphosphate aldolase Astrocyte,fdp[cA] <=> dhap[cA] + g3p[cA],3.519,0.0
259,FCLTm,"Ferrochelatase, mitochondrial Astrocyte",fe2[mA] + ppp9[mA] --> 2.0 h[mA] + pheme[mA],0.0,1.0158540675320182e-14
260,FE2t,iron (II) transport Astrocyte,fe2[e] --> fe2[cA],0.0,0.0
261,FE2tm,iron (II) transport Astrocyte,fe2[cA] + h[cA] --> fe2[mA] + h[mA],0.0,3.3280069439011436e-31
262,FORt2m,formate mitochondrial transport Astrocyte,for[mA] <=> for[cA],-1.1195469381367504e-15,-8.881784197001252e-16
263,FPGS2m,"folylpolyglutamate synthetase, mitochondrial Astrocyte",5thf[mA] + atp[mA] + glu-L[mA] --> 6thf[mA] + adp[mA] + h[mA] + pi[mA],0.0,1.609823385706477e-15
264,FPGS3m,"folylpolyglutamate synthetase, mitochondrial Astrocyte",6thf[mA] + atp[mA] + glu-L[mA] --> 7thf[mA] + adp[mA] + h[mA] + pi[mA],0.0,-1.6653345369377348e-16
265,FPGS4m,"folylpolyglutamate synthetase (DHF), mitochondrial Astrocyte",4.0 atp[mA] + dhf[mA] + 4.0 glu-L[mA] --> 5dhf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],0.0,6.439293542825908e-15
266,FPGS5m,"folylpolyglutamate  synthetase (DHF), mitochondrial Astrocyte",5dhf[mA] + atp[mA] + glu-L[mA] --> 6dhf[mA] + adp[mA] + h[mA] + pi[mA],0.0,1.226796442210798e-14
267,FPGS6m,"folylpolyglutamate synthetase (DHF), mitochondrial Astrocyte",6dhf[mA] + atp[mA] + glu-L[mA] --> 7dhf[mA] + adp[mA] + h[mA] + pi[mA],0.0,1.226796442210798e-14
268,FPGS7m,"folylpolyglutamate synthetase (10fthf), mitochondrial Astrocyte",10fthf[mA] + 4.0 atp[mA] + 4.0 glu-L[mA] --> 10fthf5glu[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],0.0,0.0
269,FPGS8m,"folylpolyglutamate synthetase (10fthf), mitochondrial Astrocyte",10fthf5glu[mA] + atp[mA] + glu-L[mA] --> 10fthf6glu[mA] + adp[mA] + h[mA] + pi[mA],0.0,-4.204905660377307
270,FPGS9m,"folylpolyglutamate synthetase (10fthf), mitochondrial Astrocyte",10fthf6glu[mA] + atp[mA] + glu-L[mA] --> 10fthf7glu[mA] + adp[mA] + h[mA] + pi[mA],0.0,0.0
271,FPGSm,"folylpolyglutamate synthetase, mitochondrial Astrocyte",4.0 atp[mA] + 4.0 glu-L[mA] + thf[mA] --> 5thf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],0.0,6.439293542825908e-15
272,FTHFLm,"formate-tetrahydrofolate ligase, mitochondrial Astrocyte",atp[mA] + for[mA] + thf[mA] <=> 10fthf[mA] + adp[mA] + pi[mA],2.9773896991456764e-15,-1.4210854715202004e-14
273,FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial Astrocyte",fum[cA] + so3[mA] <=> fum[mA] + so3[cA],0.0,-1.3322676295501878e-15
274,FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial Astrocyte",fum[cA] + so4[mA] <=> fum[mA] + so4[cA],0.0,0.0
275,FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial Astrocyte",fum[cA] + tsul[mA] <=> fum[mA] + tsul[cA],0.0,0.0
276,FUMm,"fumarase, mitochondrial Astrocyte",fum[mA] + h2o[mA] <=> mal-L[mA],-3.552713678800501e-15,8.881784197001252e-16
277,FUMtm,"fumarate transport, mitochondrial Astrocyte",fum[cA] + pi[mA] <=> fum[mA] + pi[cA],0.0,-1.1102230246251565e-16
278,G3PD2m,"glycerol-3-phosphate dehydrogenase (FAD), mitochondrial Astrocyte",fad[mA] + glyc3p[cA] --> dhap[cA] + fadh2[mA],0.0,1.3322676295501878e-15
279,G5SDym,glutamate-5-semialdehyde dehydrogenase (m) Astrocyte,glu5p[mA] + h[mA] + nadph[mA] --> glu5sa[mA] + nadp[mA] + pi[mA],0.0,8.1601392309949e-15
280,G6PDH2r,glucose 6-phosphate dehydrogenase Astrocyte,g6p[cA] + nadp[cA] <=> 6pgl[cA] + h[cA] + nadph[cA],0.0,-6.656013887802287e-31
281,GAPD,glyceraldehyde-3-phosphate dehydrogenase Astrocyte,g3p[cA] + nad[cA] + pi[cA] <=> 13dpg[cA] + h[cA] + nadh[cA],7.038,1.1102230246251561e-15
282,GCALDDm,"Glycolaldehyde dehydrogenase, mitochondrial Astrocyte",gcald[mA] + h2o[mA] + nad[mA] --> glyclt[mA] + 2.0 h[mA] + nadh[mA],9.209857892287042e-15,3.219646771412954e-15
283,GCC2am,"glycine-cleavage complex (lipoamide), mitochondrial Astrocyte",gly[mA] + h[mA] + lpam[mA] <=> alpam[mA] + co2[mA],0.0,-3.552713678800501e-15
284,GCC2bim,"glycine-cleavage system (lipoamide) irreversible, mitochondrial Astrocyte",alpam[mA] + thf[mA] --> dhlam[mA] + mlthf[mA] + nh4[mA],0.0,-1.1773584905660126
285,GCC2cm,"glycine-cleavage complex (lipoamide), mitochondrial Astrocyte",dhlam[mA] + nad[mA] <=> h[mA] + lpam[mA] + nadh[mA],0.0,5.551115123125783e-17
286,GCCam,"glycine-cleavage complex (lipoylprotein), mitochondrial Astrocyte",gly[mA] + h[mA] + lpro[mA] <=> alpro[mA] + co2[mA],-9.209857892287042e-15,0.0
287,GCCbim,"glycine-cleavage complex (lipoylprotein) irreversible, mitochondrial Astrocyte",alpro[mA] + thf[mA] --> dhlpro[mA] + mlthf[mA] + nh4[mA],0.0,-1.1773584905660126
288,GCCcm,"glycine-cleavage complex (lipoylprotein), mitochondrial Astrocyte",dhlpro[mA] + nad[mA] <=> h[mA] + lpro[mA] + nadh[mA],0.0,5.551115123125783e-17
289,GHMT2rm,"glycine hydroxymethyltransferase, reversible, mitochondrial Astrocyte",ser-L[mA] + thf[mA] <=> gly[mA] + h2o[mA] + mlthf[mA],-9.020323246264287e-15,-4.440892098500626e-15
290,GHMT3m,"glycine hydroxymethyltransferase, mitochondrial Astrocyte",3htmelys[mA] + h[mA] --> 4tmeabut[mA] + gly[mA],0.0,0.0
291,GLACOm,"D-Glucuronolactone:NAD+ oxidoreductase, mitochondrial Astrocyte",glac[mA] + 2.0 h2o[mA] + nad[mA] --> glcr[mA] + 3.0 h[mA] + nadh[mA],0.0,0.0
292,GLCt1r,glucose transport (uniport) Astrocyte,glc-D[e] --> glc-D[cA],3.519,66.51999999999956
293,GLCt2r,D-glucose transport in via proton symport Astrocyte,glc-D[e] + h[e] --> glc-D[cA] + h[cA],0.0,66.51999999999956
294,GLNS,glutamine synthetase Astrocyte,atp[cA] + glu-L[cA] + nh4[cA] --> adp[cA] + gln-L[cA] + h[cA] + pi[cA],4.222799999999955,1.3322676295501878e-15
295,GLNtm,L-glutamine transport via electroneutral transporter Astrocyte,gln-L[cA] --> gln-L[mA],0.0,0.0
296,GLU5Km,glutamate 5-kinase (m) Astrocyte,atp[mA] + glu-L[mA] --> adp[mA] + glu5p[mA],0.0,1.7763568394002505e-15
297,GLUDxm,glutamate dehydrogenase (NAD) (mitochondrial) Astrocyte,glu-L[mA] + h2o[mA] + nad[mA] <=> akg[mA] + h[mA] + nadh[mA] + nh4[mA],-2.086854771478269e-13,7.216449660063518e-16
298,GLUDym,"glutamate dehydrogenase (NADP), mitochondrial Astrocyte",glu-L[mA] + h2o[mA] + nadp[mA] --> akg[mA] + h[mA] + nadph[mA] + nh4[mA],0.0,0.3822641509434078
299,GLUNm,glutaminase (mitochondrial) Astrocyte,gln-L[mA] + h2o[mA] --> glu-L[mA] + nh4[mA],0.0,-1.260000000000014
300,GLUTCOADHm,glutaryl-CoA dehydrogenase (mitochondria) Astrocyte,fad[mA] + glutcoa[mA] + h[mA] --> b2coa[mA] + co2[mA] + fadh2[mA],0.0,1.6653345369377348e-16
301,GLUVESSEC,L-glutamate secretion via secretory vesicle (ATP driven) Astrocyte,atp[cA] + glu-L[cA] + h2o[cA] --> adp[cA] + glu-L[e] + h[cA] + pi[cA],0.0,-31.11018867924507
302,GLUt2m,"L-glutamate reversible transport via proton symport, mitochondrial Astrocyte",glu-L[cA] + h[cA] <=> glu-L[mA] + h[mA],-1.9947561925553983e-13,-1.6653345369377314e-16
303,GLUt6,"Glutamate transport via Na, H symport and K antiport Astrocyte",glu-L[e] + h[e] + k[cA] + 3.0 na1[e] --> glu-L[cA] + h[cA] + k[e] + 3.0 na1[cA],0.0,28.590188679245042
304,GLYATm,glycine C-acetyltransferase Astrocyte,accoa[mA] + gly[mA] <=> 2aobut[mA] + coa[mA],0.0,0.0
305,GLYCLTDym,"Glycolate dehydrogenase (NADP), mitochondrial Astrocyte",glx[mA] + h[mA] + nadph[mA] --> glyclt[mA] + nadp[mA],-9.209857892287042e-15,1.6653345369377348e-16
306,GLYCt,glycerol transport via channel Astrocyte,glyc[cA] <=> glyc[e],0.0,0.0
307,GLYCtm,glycerol transport Astrocyte,glyc[cA] <=> glyc[mA],0.0,0.0
308,GLYKm,glycerol kinase Astrocyte,atp[mA] + glyc[mA] --> adp[mA] + glyc3p[mA] + h[mA],0.0,-1.6653345369377348e-16
309,GLYOXm,"hydroxyacylglutathione hydrolase, mitochondrial Astrocyte",h2o[mA] + lgt-S[mA] --> gthrd[mA] + h[mA] + lac-D[mA],0.0,-4.999999999999972
310,GLYt2r,glycine reversible transport via proton symport Astrocyte,gly[e] + h[e] <=> gly[cA] + h[cA],-5.845204632888506e-14,-0.0
311,GLYtm,glycine passive transport to mitochondria Astrocyte,gly[cA] <=> gly[mA],-1.8953464602275441e-16,-3.552713678800501e-15
312,GND,phosphogluconate dehydrogenase Astrocyte,6pgc[cA] + nadp[cA] --> co2[cA] + nadph[cA] + ru5p-D[cA],0.0,-11.086666666666595
313,GTHOm,glutathione oxidoreductase Astrocyte,gthox[mA] + h[mA] + nadph[mA] --> 2.0 gthrd[mA] + nadp[mA],0.0,-4.204905660377351
314,GTHPm,"glutathione peroxidase, mitochondria Astrocyte",2.0 gthrd[mA] + h2o2[mA] <=> gthox[mA] + 2.0 h2o[mA],0.0,-0.0
315,H2CO3Dm,carboxylic acid dissociation Astrocyte,co2[mA] + h2o[mA] <=> h2co3[mA],0.0,0.0
316,H2O2t,hydrogen peroxide transport via diffusion Astrocyte,h2o2[e] <=> h2o2[cA],0.0,0.0
317,H2O2tm,hydrogen peroxide mitochondrial transport Astrocyte,h2o2[cA] <=> h2o2[mA],0.0,0.0
318,H2Ot,H2O transport via diffusion Astrocyte,h2o[e] <=> h2o[cA],-4.222800000000242,-8.743006318923108e-16
319,H2Otm,"H2O transport, mitochondrial Astrocyte",h2o[cA] <=> h2o[mA],-2.862280643109077e-13,-1.3877787807814457e-17
320,HACD1m,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA) (mitochondria) Astrocyte,aacoa[mA] + h[mA] + nadh[mA] <=> 3hbcoa[mA] + nad[mA],0.0,-7.216449660063518e-16
321,HACD9m,"3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA), mitochondrial Astrocyte",3hmbcoa[mA] + nad[mA] <=> 2maacoa[mA] + h[mA] + nadh[mA],-3.3239282164113625e-29,-1.6653345369377348e-16
322,HBZOPT10m,Hydroxybenzoate Decaprenyltransferase Astrocyte,4hbz[mA] + decdp[mA] --> 3dphb[mA] + ppi[mA],0.0,0.0
323,HCO3Em,HCO3 equilibration reaction Astrocyte,co2[mA] + h2o[mA] <=> h[mA] + hco3[mA],-3.3239282164113625e-29,0.0
324,HEX1,hexokinase (D-glucose:ATP) Astrocyte,atp[cA] + glc-D[cA] --> adp[cA] + g6p[cA] + h[cA],3.519,-1.9984014443252818e-15
325,HIBDm,"3-hydroxyisobutyrate dehydrogenase, mitochondrial Astrocyte",3hmp[mA] + nad[mA] <=> 2mop[mA] + h[mA] + nadh[mA],1.1743200289695877e-28,7.216449660063518e-16
326,HMBS,hydroxymethylbilane synthase Astrocyte,h2o[cA] + 4.0 ppbng[cA] --> hmbil[cA] + 4.0 nh4[cA],0.0,4.427014310692812e-15
327,HMGCOASim,Hydroxymethylglutaryl CoA synthase (ir) Astrocyte,aacoa[mA] + accoa[mA] + h2o[mA] --> coa[mA] + h[mA] + hmgcoa[mA],0.0,1.1379786002407855e-14
328,HMGLm,hydroxymethylglutaryl-CoA lyase Astrocyte,hmgcoa[mA] --> acac[mA] + accoa[mA],0.0,-1.5290566037735687
329,HPROxm,"L-hydroxyproline dehydrogenase (NAD), mitochondrial Astrocyte",4hpro-LT[mA] + nad[mA] --> 1p3h5c[mA] + 2.0 h[mA] + nadh[mA],0.0,0.0
330,Ht,proton diffusion Astrocyte,h[cA] <=> h[e],0.0,0.0
331,Htm,Uncoupling protein Astrocyte,h[cA] --> h[mA],0.0,-0.3822641509433925
332,ICDHxm,Isocitrate dehydrogenase (NAD+) Astrocyte,icit[mA] + nad[mA] --> akg[mA] + co2[mA] + nadh[mA],0.0,-0.3822641509433993
333,ICDHyrm,Isocitrate dehydrogenase (NADP+) Astrocyte,icit[mA] + nadp[mA] <=> akg[mA] + co2[mA] + nadph[mA],1.7377827512850618e-15,3.552713678800501e-15
334,ILETA,isoleucine transaminase Astrocyte,akg[cA] + ile-L[cA] <=> 3mop[cA] + glu-L[cA],0.0,-3.552713678800501e-15
335,ILETAm,"isoleucine transaminase, mitochondrial Astrocyte",akg[mA] + ile-L[mA] <=> 3mop[mA] + glu-L[mA],-3.3239282164113625e-29,0.0
336,ILEt5m,Isoleucine mitochondrial transport Astrocyte,ile-L[cA] <=> ile-L[mA],-3.3239282164113625e-29,0.0
337,ILEtec,L-isoleucine transport via diffusion (extracellular to cytosol) Astrocyte,ile-L[e] <=> ile-L[cA],0.0,0.0
338,IMACTD_m,Imidazole acetaldeyde dehydrogenase (mito) Astrocyte,h2o[mA] + im4act[mA] + nad[mA] --> 2.0 h[mA] + im4ac[mA] + nadh[mA],0.0,1.1102230246251565e-16
339,ITCOAL1m,"Itaconate--CoA ligase (GDP-forming), mitochondrial Astrocyte",coa[mA] + gtp[mA] + itacon[mA] <=> gdp[mA] + itaccoa[mA] + pi[mA],0.0,-0.0
340,ITCOALm,"Itaconate--CoA ligase (ADP-forming), mitochondrial Astrocyte",atp[mA] + coa[mA] + itacon[mA] <=> adp[mA] + itaccoa[mA] + pi[mA],0.0,0.0
341,Kt1r,potassium transport via uniport (facilitated diffusion) Astrocyte,k[e] <=> k[cA],0.0,0.0
342,L-LACt2r,L-lactate reversible transport via proton symport Astrocyte,h[e] + lac-L[e] <=> h[cA] + lac-L[cA],0.0,-0.0
343,L-LACtm,"L-lactate transport, mitochondrial Astrocyte",h[cA] + lac-L[cA] --> h[mA] + lac-L[mA],0.0,-3.6177358490566083
344,LCADi_Dm,"lactaldehyde dehydrogenase, mitochondrial Astrocyte",h2o[mA] + lald-D[mA] + nad[mA] --> 2.0 h[mA] + lac-D[mA] + nadh[mA],0.0,-1.1773584905660373
345,LCADim,"lactaldehyde dehydrogenase, mitochondrial Astrocyte",h2o[mA] + lald-L[mA] + nad[mA] --> 2.0 h[mA] + lac-L[mA] + nadh[mA],0.0,1.4432899320127035e-15
346,LCYSTATm,"L-Cysteate:2-oxoglutarate aminotransferase, mitochondrial Astrocyte",Lcyst[mA] + akg[mA] <=> 3spyr[mA] + glu-L[mA],0.0,-0.0
347,LDH_L,L-lactate dehydrogenase Astrocyte,lac-L[cA] + nad[cA] <-- h[cA] + nadh[cA] + pyr[cA],-7.037999999999805,-3.3280069439011436e-31
348,LDH_Lm,L-lactate dehydrogenase Astrocyte,lac-L[mA] + nad[mA] <=> h[mA] + nadh[mA] + pyr[mA],0.0,7.216449660063518e-16
349,LEUTA,leucine transaminase Astrocyte,akg[cA] + leu-L[cA] <=> 4mop[cA] + glu-L[cA],0.0,-3.552713678800501e-15
350,LEUTAm,"leucine transaminase, mitochondrial Astrocyte",akg[mA] + leu-L[mA] <=> 4mop[mA] + glu-L[mA],0.0,0.0
351,LEUt5m,leucine mitochondrial transport Astrocyte,leu-L[cA] <=> leu-L[mA],0.0,0.0
352,LEUtec,L-leucine transport via diffusion (extracellular to cytosol) Astrocyte,leu-L[e] <=> leu-L[cA],0.0,0.0
353,LSOProd,Lumped superoxide production Astrocyte,focytC[mA] + o2[mA] --> ficytC[mA] + o2s[mA],0.0,-0.2645283018867945
354,LYStiDF,L-lysine transport via diffusion (extracellular to cytosol) Astrocyte,lys-L[e] <=> lys-L[cA],0.0,0.0
355,LYStm,Lysine mitochondrial transport via ornithine carrier Astrocyte,h[mA] + lys-L[cA] <=> h[cA] + lys-L[mA],0.0,1.6653345369377314e-16
356,MALSO3tm,"Malate:sulfite antiport, mitochondrial Astrocyte",mal-L[cA] + so3[mA] <=> mal-L[mA] + so3[cA],0.0,-6.661338147750939e-16
357,MALSO4tm,"Malate:sulfate antiport, mitochondrial Astrocyte",mal-L[cA] + so4[mA] <=> mal-L[mA] + so4[cA],0.0,-0.0
358,MALTSULtm,"Malate:thiosulfate antiport, mitochondrial Astrocyte",mal-L[cA] + tsul[mA] <=> mal-L[mA] + tsul[cA],0.0,-0.0
